Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
Athletics",PRO CR,PRO CR 11,3288,BECKMAN M,4.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,21
"Kinesiology and
Athletics",PRO CR,PRO CR 12,3289,SHIMA T H,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6
"Kinesiology and
Athletics",PRO CR,PRO CR 15,3290,LEDWITH K F,19.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,40
"Kinesiology and
Athletics",PRO CR,PRO CR 19,3291,THOMAS J L,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8
"Kinesiology and
Athletics",VAR PE,VAR PE 9V,3456,THOMAS J L,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21
"Kinesiology and
Athletics",VAR PE,VAR PE 9W,3457,STRONG L M,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10
"Kinesiology and
Athletics",VAR PE,VAR PE 11A,3458,MOSICH N W,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18
"Kinesiology and
Athletics",VAR PE,VAR PE 11B,3460,HANK M E,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17
"Kinesiology and
Athletics",VAR PE,VAR PE 14V,3461,BARRON E A,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"Kinesiology and
Athletics",VAR PE,VAR PE 14W,3462,BARRON E A,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
"Kinesiology and
Athletics",VAR PE,VAR PE 21V,3463,ADAMS D S,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20
"Kinesiology and
Athletics",VAR PE,VAR PE 21V,4303,LEDWITH K F,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,47
"Kinesiology and
Athletics",VAR PE,VAR PE 43V,3464,PIERCE T L,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
"Kinesiology and
Athletics",VAR PE,VAR PE 43W,3465,BENDITSON A,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25
"Kinesiology and
Athletics",VAR PE,VAR PE 50V,3466,ESKRIDGE B M,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
"Kinesiology and
Athletics",VAR PE,VAR PE 50W,3467,ESKRIDGE B M,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13
"Kinesiology and
Athletics",VAR PE,VAR PE 57W,3468,DOUGLAS T B JR,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16
"Kinesiology and
Athletics",VAR PE,VAR PE 60,3469,DRUCKMAN C J,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
"Kinesiology and
Athletics",VAR PE,VAR PE 60,3470,THOMAS J L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Kinesiology and
Athletics",VAR PE,VAR PE 60,3554,ZAMIR L,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Library,LIBR,LIBR 1,2732,CARPENTER M K,6.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18
Library,LIBR,LIBR 1,2733,ANTRIM B S,13.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20
